106,Reykhólar,Orkubú Vestfjarða,100,Varaafl,750,NULL,NULL,NULL,1,351280,553370
107,Reykjanes,Orkubú Vestfjarða,100,Varaafl,666,NULL,NULL,NULL,1,343875,607540
108,Seyðisfjörður,RARIK,100,Varaafl,2765,NULL,NULL,NULL,1,732900,537665
109,Siglufjörður,RARIK,100,Varaafl,0,NULL,NULL,2014,0,504290,628500
110,Skagaströnd,RARIK,100,Varaafl,1629,NULL,NULL,NULL,1,441900,592855
111,Stöðvarfjörður,RARIK,100,Varaafl,551,NULL,NULL,2017,0,742400,491500
112,Straumsvík,Landsvirkjun,100,Varaafl,35000,NULL,NULL,NULL,1,352590,397375
113,Stykkishólmur,RARIK,100,Varaafl,1160,NULL,NULL,NULL,1,322920,507245
114,Súðavík,Orkubú Vestfjarða,100,Varaafl,1400,NULL,NULL,NULL,1,318790,620650
115,Suðureyri,Orkubú Vestfjarða,100,Varaafl,720,NULL,NULL,NULL,1,295755,633065
116,Vestmannaeyjar,HS Veitur,100,Varaafl,5070,NULL,NULL,NULL,1,436455,327085
117,Vík í Mýrdal,RARIK,100,Varaafl,1281,NULL,NULL,NULL,1,499200,323475
118,Þingeyri,Orkubú Vestfjarða,100,Varaafl,2234,NULL,NULL,NULL,1,295190,605180
119,Þórshöfn,RARIK,100,Varaafl,2234,NULL,NULL,NULL,1,665765,637830
122,Hólsvirkjun,Jón Grétarsson,1,Vatnsaflsvirkjun,58,NULL,2019,NULL,1,473098,568885
123,Laxárvatn,RARIK,1,Vatnsaflsvirkjun,480,NULL,NULL,2016,0,443750,569990
125,Setbergsvirkjun,Setberg ehf,1,Vatnsaflsvirkjun,37,Pelton,2019,NULL,1,678875,437060
126,Borgarvirkjun 1,Magnús H Guðmundsson,1,Vatnsaflsvirkjun,70,Pelton,2003,NULL,1,303142,614512
127,Hólsvirkjun,Arctic Hydro ehf.,1,Vatnsaflsvirkjun,5500,Pelton,NULL,NULL,1,550440,595740
128,Tjarnavirkjun,Tjarnavirkjun ehf.,1,Vatnsaflsvirkjun,1000,Francis,NULL,NULL,1,534845,534935
1001,Hörðuvellir,Ekki skráð,101,Heimarafstöð,38,Francis,1906,1952,0,356105,399390
1002,Leirvogstunga,Ekki skráð,101,Heimarafstöð,6,Skrúfa,1931,1970,0,369700,411250
1003,Grafarholt,Ekki skráð,101,Heimarafstöð,"4,5",Skrúfa,1937,1949,0,364800,405000
1004,Skeggjastaðir,Ekki skráð,101,Heimarafstöð,10,Skrúfa,1938,1970,0,376105,413950
1005,Álafoss,Ekki skráð,101,Heimarafstöð,3,Francis,1916,1947,0,369940,409815
1006,Reykjahlíð,Ekki skráð,101,Heimarafstöð,"3,5",Skrúfa,1933,1939,0,372342,410822
1007,Svanastaðir,Ekki skráð,101,Heimarafstöð,6,Francis,1930,1935,0,380255,413315
1008,Varmidalur,Ekki skráð,101,Heimarafstöð,"5,5",Skrúfa,1933,1952,0,370820,412925
1009,Vallá o.fl.,Ekki skráð,101,Heimarafstöð,"6,7",Francis,1930,1952,0,363255,418047
1010,Miðdalur,Ekki skráð,101,Heimarafstöð,3,Skrúfa,1934,1958,0,371342,403946
1011,Gunnarshólmi,Ekki skráð,101,Heimarafstöð,8,Skrúfa,1931,1935,0,369513,400673
1012,Svarfhóll,Ekki skráð,101,Heimarafstöð,"0,5",Pelton,1934,1958,0,369980,437835
1013,Ós,Ekki skráð,101,Heimarafstöð,3,Francis,1926,1958,0,355270,431497
1014,Hvítanes,Ekki skráð,101,Heimarafstöð,5,Skrúfa,1932,1958,0,357112,432969
1015,Bekanstaðir,Ekki skráð,101,Heimarafstöð,"3,5",Skrúfa,1932,1955,0,357954,432538
1016,Innri-Hólmur,Ekki skráð,101,Heimarafstöð,"4,5",Francis,1931,1949,0,358242,425870
1017,Geldingaá,Ekki skráð,101,Heimarafstöð,5,Francis,1930,1958,0,360350,437777
1018,Leirá og Leirárgarðar,Ekki skráð,101,Heimarafstöð,13,Francis,1931,1958,0,362964,437715
1019,Narfastaðir,Ekki skráð,101,Heimarafstöð,4,Skrúfa,1942,1958,0,356258,441027
1020,Höfn,Ekki skráð,101,Heimarafstöð,4,Skrúfa,1942,1958,0,357100,444116
1021,Hvanneyri,Ekki skráð,101,Heimarafstöð,7,Francis,1932,1949,0,367300,454132
1022,Grímsstaðir,Ekki skráð,101,Heimarafstöð,4,Francis,1942,1952,0,370112,456946
1023,Háafell,Ekki skráð,101,Heimarafstöð,"0,1",Pelton,1941,1943,0,386066,446678
1024,Hagi,Ekki skráð,101,Heimarafstöð,2,Pelton,1954,NULL,0,383341,447630
1025,Lundur,Ekki skráð,101,Heimarafstöð,"1,5",Skrúfa,1940,1946,0,385848,452238
1026,Vilmundarstaðir,Ekki skráð,101,Heimarafstöð,"17,5",Pelton,1932,1969,0,392150,463240
1027,Giljar,Ekki skráð,101,Heimarafstöð,5,Pelton,1932,1969,0,401272,465099
1028,Stóri Ás (+héraðsv),Ekki skráð,101,Heimarafstöð,4,Pelton,1928,1970,0,402636,467965
1029,Húsafell I+II,Ekki skráð,101,Heimarafstöð,10,Skrúfa,1951,NULL,1,410564,467359
1030,Húsafell orlofshús,Ekki skráð,101,Heimarafstöð,150,Skrúfa,1971,NULL,0,410395,467974
1031,Kalmannstunga,Ekki skráð,101,Heimarafstöð,12,Skrúfa,1930,NULL,1,414397,471185
1032,Álftártunga,Ekki skráð,101,Heimarafstöð,6,Skrúfa,1950,1971,0,355373,466052
1033,Höfði,Ekki skráð,101,Heimarafstöð,10,Pelton,1954,1958,0,384488,475005
1034,Melur,Ekki skráð,101,Heimarafstöð,6,Skrúfa,1954,1973,0,352958,472125
1035,Álftá,Ekki skráð,101,Heimarafstöð,6,Francis,1952,1972,0,354350,466910
1036,Ytri-Hraundalur,Ekki skráð,101,Heimarafstöð,"3,5",Francis,1958,1970,0,357180,473077
