Nafn,Númer,Greiningartimi,Spatimi,Villa,Vindhradi (m/s),Vindatt,Hiti,Veður
Akureyri,422,8/17/2020 18:00,8/20/2020 5:00,,3,S,4,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/20/2020 6:00,,3,S,4,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/20/2020 7:00,,3,S,5,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/20/2020 8:00,,4,S,6,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/20/2020 9:00,,4,SSA,8,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/20/2020 10:00,,4,SSA,9,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/20/2020 11:00,,3,SA,10,Heiðskírt
Akureyri,422,8/17/2020 18:00,8/20/2020 12:00,,3,SA,10,Léttskýjað
Akureyri,422,8/17/2020 12:00,8/20/2020 15:00,,3,ANA,8,Alskýjað
Akureyri,422,8/17/2020 12:00,8/20/2020 18:00,,3,ANA,9,Alskýjað
Akureyri,422,8/17/2020 12:00,8/20/2020 21:00,,2,ANA,6,Alskýjað
Akureyri,422,8/17/2020 12:00,8/21/2020 0:00,,1,NA,5,Alskýjað
Akureyri,422,8/17/2020 12:00,8/21/2020 3:00,,1,NNA,4,Alskýjað
Akureyri,422,8/17/2020 12:00,8/21/2020 6:00,,1,N,3,Alskýjað
Akureyri,422,8/17/2020 12:00,8/21/2020 9:00,,1,N,5,Alskýjað
Akureyri,422,8/17/2020 12:00,8/21/2020 12:00,,3,NA,7,Alskýjað
Akureyri,422,8/17/2020 12:00,8/21/2020 15:00,,3,NA,7,Alskýjað
Akureyri,422,8/17/2020 12:00,8/21/2020 18:00,,3,NA,7,Alskýjað
Akureyri,422,8/17/2020 12:00,8/21/2020 21:00,,2,NA,5,Alskýjað
Akureyri,422,8/17/2020 12:00,8/22/2020 0:00,,1,NA,4,Alskýjað
Akureyri,422,8/17/2020 12:00,8/22/2020 3:00,,2,NA,3,Alskýjað
Akureyri,422,8/17/2020 12:00,8/22/2020 6:00,,2,NNA,3,Alskýjað
Akureyri,422,8/17/2020 12:00,8/22/2020 9:00,,2,NNA,4,Alskýjað
Akureyri,422,8/17/2020 12:00,8/22/2020 12:00,,1,NNA,5,Alskýjað
